GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooJestApp,edu.nwmissouri.zoo06group,ZooIndexController,198,3,16,0,80,1,19,1,4,1
ZooJestApp,edu.nwmissouri.zoo06group,Hippopotamus,43,17,0,0,10,7,2,4,2,4
ZooJestApp,edu.nwmissouri.zoo06group,ZooJestAppApplication,5,3,0,0,2,1,1,1,1,1
ZooJestApp,edu.nwmissouri.zoo06group,SkeeBallGame,0,25,0,0,0,10,0,6,0,6
ZooJestApp,edu.nwmissouri.zoo06group,AbstractGame,16,3,0,0,7,1,5,1,5,1
ZooJestApp,edu.nwmissouri.zoo06group,HippopotamusGroup,3,49,0,0,1,14,1,3,1,3
ZooJestApp,edu.nwmissouri.zoo06group,LigerGroup,3,51,0,0,1,15,1,3,1,3
ZooJestApp,edu.nwmissouri.zoo06group,LionGroup,3,51,0,0,1,15,1,3,1,3
ZooJestApp,edu.nwmissouri.zoo06group,GameApp,304,0,56,0,119,0,36,0,2,0
ZooJestApp,edu.nwmissouri.zoo06group,ShootingArcade,5,14,0,0,1,6,1,4,1,4
ZooJestApp,edu.nwmissouri.zoo06group,KnockingGame,0,18,0,0,0,7,0,4,0,4
ZooJestApp,edu.nwmissouri.zoo06group,RockClimbing,19,20,0,0,7,8,5,4,5,4
ZooJestApp,edu.nwmissouri.zoo06group,WaterRide,5,34,0,0,1,14,1,9,1,9
ZooJestApp,edu.nwmissouri.zoo06group,PanicRoom,0,25,0,0,0,10,0,6,0,6
ZooJestApp,edu.nwmissouri.zoo06group,SplashMountain,0,25,0,0,0,10,0,6,0,6
ZooJestApp,edu.nwmissouri.zoo06group,GiraffeGroup,3,56,0,2,1,14,1,3,1,2
ZooJestApp,edu.nwmissouri.zoo06group,AdventureRides,5,10,0,0,1,4,1,3,1,3
ZooJestApp,edu.nwmissouri.zoo06group,Lion,0,20,0,0,0,6,0,3,0,3
ZooJestApp,edu.nwmissouri.zoo06group,ZooCheckFiles,206,0,12,0,55,0,16,0,10,0
ZooJestApp,edu.nwmissouri.zoo06group,ZooBuildSwitch,317,0,22,0,71,0,17,0,6,0
ZooJestApp,edu.nwmissouri.zoo06group,JungleCruze,0,25,0,0,0,10,0,6,0,6
ZooJestApp,edu.nwmissouri.zoo06group,RollerCoaster,0,39,0,0,0,16,0,10,0,10
ZooJestApp,edu.nwmissouri.zoo06group,Liger,0,20,0,0,0,6,0,3,0,3
ZooJestApp,edu.nwmissouri.zoo06group,Animal,11,9,0,0,5,4,3,1,3,1
ZooJestApp,edu.nwmissouri.zoo06group,RelayHorseGroup,56,0,0,0,17,0,4,0,4,0
ZooJestApp,edu.nwmissouri.zoo06group,FlyingFox,9,0,0,0,2,0,1,0,1,0
ZooJestApp,edu.nwmissouri.zoo06group,ZooAuthors,278,0,14,0,68,0,20,0,13,0
ZooJestApp,edu.nwmissouri.zoo06group,Giraffe,43,25,0,0,10,7,2,4,2,4
ZooJestApp,edu.nwmissouri.zoo06group,JungleRiveBattle,0,13,0,0,0,5,0,3,0,3
ZooJestApp,edu.nwmissouri.zoo06group,CheetahGroup,3,51,0,0,1,15,1,3,1,3
ZooJestApp,edu.nwmissouri.zoo06group,RelayHorse,26,0,0,0,8,0,5,0,5,0
ZooJestApp,edu.nwmissouri.zoo06group,Cheetah,0,20,0,0,0,6,0,3,0,3
